"country","year","month","sum"
"Pakistan",2007,7,5
"Iraq",2007,7,3
"Sudan",2007,7,3
"Australia",2007,7,3
"Iran",2007,7,3
"United States",2007,7,3
"Afghanistan",2007,7,2
"Bangladesh",2007,7,2
"Chad",2007,7,2
"Colombia",2007,7,2
"India",2007,7,2
"Indonesia",2007,7,2
"Nigeria",2007,7,2
"Philippines",2007,7,2
"Somalia",2007,7,2
"Sri Lanka",2007,7,2
"Algeria",2007,7,1
"Angola",2007,7,1
"Azerbaijan",2007,7,1
"Bolivia",2007,7,1
"Central African Republic",2007,7,1
"Congo",2007,7,1
"Ecuador",2007,7,1
"Ethiopia",2007,7,1
"Haiti",2007,7,1
"Israel",2007,7,1
"Kenya",2007,7,1
"Lebanon",2007,7,1
"Lesotho",2007,7,1
"Mali",2007,7,1
"Mexico",2007,7,1
"Myanmar",2007,7,1
"Nepal",2007,7,1
"Niger",2007,7,1
"North Korea",2007,7,1
"Peru",2007,7,1
"Russia",2007,7,1
"Senegal",2007,7,1
"Sierra Leone",2007,7,1
"South Korea",2007,7,1
"Spain",2007,7,1
"Swaziland",2007,7,1
"Thailand",2007,7,1
"Turkey",2007,7,1
"United Arab Emirates",2007,7,1
"Yemen",2007,7,1
"Zambia",2007,7,1
"Albania",2007,7,0
"Argentina",2007,7,0
"Armenia",2007,7,0
"Australia",2007,7,0
"Austria",2007,7,0
"Bahamas",2007,7,0
"Bahrain",2007,7,0
"Barbados",2007,7,0
"Belarus",2007,7,0
"Belgium",2007,7,0
"Belize",2007,7,0
"Benin",2007,7,0
"Bhutan",2007,7,0
"Bosnia and Herzegovina",2007,7,0
"Botswana",2007,7,0
"Brazil",2007,7,0
"Bulgaria",2007,7,0
"Burkina Faso",2007,7,0
"Burundi",2007,7,0
"Cambodia",2007,7,0
"Cameroon",2007,7,0
"Canada",2007,7,0
"Cape Verde",2007,7,0
"Chile",2007,7,0
"China",2007,7,0
"Comoros",2007,7,0
"Costa Rica",2007,7,0
"Cote d'Ivoire",2007,7,0
"Croatia",2007,7,0
"Cuba",2007,7,0
"Cyprus",2007,7,0
"Czech Republic",2007,7,0
"Denmark",2007,7,0
"Djibouti",2007,7,0
"Dominican Republic",2007,7,0
"Egypt",2007,7,0
"El Salvador",2007,7,0
"Equatorial Guinea",2007,7,0
"Eritrea",2007,7,0
"Estonia",2007,7,0
"Fiji",2007,7,0
"Finland",2007,7,0
"France",2007,7,0
"Gabon",2007,7,0
"Gambia",2007,7,0
"Georgia",2007,7,0
"Germany",2007,7,0
"Ghana",2007,7,0
"Greece",2007,7,0
"Guatemala",2007,7,0
"Guinea",2007,7,0
"Guinea-Bissau",2007,7,0
"Guyana",2007,7,0
"Honduras",2007,7,0
"Hungary",2007,7,0
"Iceland",2007,7,0
"Ireland",2007,7,0
"Italy",2007,7,0
"Jamaica",2007,7,0
"Japan",2007,7,0
"Jordan",2007,7,0
"Kazakhstan",2007,7,0
"Kuwait",2007,7,0
"Kyrgyzstan",2007,7,0
"Laos",2007,7,0
"Latvia",2007,7,0
"Liberia",2007,7,0
"Libya",2007,7,0
"Lithuania",2007,7,0
"Luxembourg",2007,7,0
"Madagascar",2007,7,0
"Malawi",2007,7,0
"Malaysia",2007,7,0
"Mauritania",2007,7,0
"Mauritius",2007,7,0
"Mongolia",2007,7,0
"Morocco",2007,7,0
"Mozambique",2007,7,0
"Namibia",2007,7,0
"Netherlands",2007,7,0
"New Zealand",2007,7,0
"Nicaragua",2007,7,0
"Norway",2007,7,0
"Oman",2007,7,0
"Panama",2007,7,0
"Papua New Guinea",2007,7,0
"Paraguay",2007,7,0
"Poland",2007,7,0
"Portugal",2007,7,0
"Qatar",2007,7,0
"Romania",2007,7,0
"Rwanda",2007,7,0
"Sao Tome and Principe",2007,7,0
"Saudi Arabia",2007,7,0
"Seychelles",2007,7,0
"Singapore",2007,7,0
"Slovakia",2007,7,0
"Slovenia",2007,7,0
"Solomon Islands",2007,7,0
"South Africa",2007,7,0
"Suriname",2007,7,0
"Sweden",2007,7,0
"Switzerland",2007,7,0
"Syria",2007,7,0
"Tajikistan",2007,7,0
"Togo",2007,7,0
"Trinidad and Tobago",2007,7,0
"Tunisia",2007,7,0
"Turkmenistan",2007,7,0
"Uganda",2007,7,0
"Ukraine",2007,7,0
"United Kingdom",2007,7,0
"Uruguay",2007,7,0
"Uzbekistan",2007,7,0
"Venezuela",2007,7,0
"Vietnam",2007,7,0
"Zimbabwe",2007,7,0
